City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,New Norfolk,AU,2022-03-02 04:02:56,-42.7826,147.0587,72.9,61,99,3.0
1,Hithadhoo,MV,2022-03-02 04:02:57,-0.6,73.0833,83.84,70,92,14.32
2,Rikitea,PF,2022-03-02 04:02:57,-23.1203,-134.9692,79.47,70,96,12.64
3,Busselton,AU,2022-03-02 04:02:58,-33.65,115.3333,68.04,44,80,16.89
4,Mataura,NZ,2022-03-02 04:02:59,-46.1927,168.8643,59.49,32,5,4.03
5,Kavieng,PG,2022-03-02 04:03:00,-2.5744,150.7967,79.83,76,100,9.57
6,Mar Del Plata,AR,2022-03-02 04:00:23,-38.0023,-57.5575,68.09,86,92,8.01
7,Kodiak,US,2022-03-02 04:01:21,57.79,-152.4072,34.2,78,23,5.17
8,Ojinaga,MX,2022-03-02 04:03:01,29.5667,-104.4167,67.15,20,0,11.5
9,Naugachhia,IN,2022-03-02 04:03:01,25.4,87.1,75.42,29,5,6.42
10,Port Hedland,AU,2022-03-02 03:58:05,-20.3167,118.5667,95.05,41,100,19.57
11,Carnarvon,AU,2022-03-02 04:03:03,-24.8667,113.6333,78.69,52,16,24.25
12,Ewa Beach,US,2022-03-02 04:03:04,21.3156,-158.0072,77.99,68,100,8.01
13,Maceio,BR,2022-03-02 04:00:19,-9.6658,-35.7353,74.64,88,0,3.44
14,Bluff,NZ,2022-03-02 04:01:12,-46.6,168.3333,59.81,65,5,17.05
15,Jesup,US,2022-03-02 04:03:05,31.6074,-81.8854,54.95,76,0,0.0
16,Arraial Do Cabo,BR,2022-03-02 04:03:05,-22.9661,-42.0278,76.73,90,0,22.19
17,Pevek,RU,2022-03-02 04:03:06,69.7008,170.3133,-11.34,100,41,1.79
18,Wanaka,NZ,2022-03-02 04:03:06,-44.7,169.15,66.92,47,3,2.28
19,Kaitangata,NZ,2022-03-02 04:03:07,-46.2817,169.8464,56.93,58,2,7.87
20,Bredasdorp,ZA,2022-03-02 04:03:07,-34.5322,20.0403,65.55,77,13,0.4
21,Niamey,NE,2022-03-02 03:59:49,13.5137,2.1098,79.09,14,9,3.44
22,Atambua,ID,2022-03-02 04:03:08,-9.1061,124.8925,82.58,67,82,5.75
23,Hermanus,ZA,2022-03-02 04:03:08,-34.4187,19.2345,67.89,76,48,6.31
24,Sao Joao Da Barra,BR,2022-03-02 04:03:08,-21.6403,-41.0511,76.19,90,2,14.92
25,Janesville,US,2022-03-02 04:03:09,42.6828,-89.0187,36.1,84,52,1.01
